"ID","n_victimas","tipo_de_calle","calle","altura","cruce","dirección_normalizada","comuna","lon","lat","participantes","victima","acusado","fecha_hora","es_cruce"
"2016-0135",1,"AVENIDA","FIGUEROA ALCORTA, PRES. AV.","ESQ","PINEDO, INT.","FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",14.0,-58.42260225,-34.56403694,"PEATON-SD","PEATON","SD","2016-10-24 05:00:00","Esquina"
"2016-0137",1,"AVENIDA","SAN MARTIN AV.","ESQ","LADINES","SAN MARTIN AV. y LADINES",11.0,-58.51537091,-34.59035925,"MOTO-MOTO","MOTO","MOTO","2016-10-25 00:39:00","Esquina"
"2016-0138",1,"AVENIDA","CABILDO AV.","ESQ","BLANCO ENCALADA","CABILDO AV. y BLANCO ENCALADA",13.0,-58.4590967,-34.55922742,"BICICLETA-CARGAS","BICICLETA","CARGAS","2016-10-27 20:30:00","Esquina"
"2016-0139",1,"AVENIDA","FIGUEROA ALCORTA, PRES. AV.","ESQ","DORREGO AV.","FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",14.0,-58.42008769,-34.56539579,"MOTO-MOTO","MOTO","MOTO","2016-10-28 23:00:00","Esquina"
"2016-0140",1,"AVENIDA","JURAMENTO AV.","ESQ","VUELTA DE OBLIGADO","JURAMENTO AV. y VUELTA DE OBLIGADO",13.0,-58.45566399,-34.56147293,"PASAJEROS-PASAJEROS","PASAJEROS","PASAJEROS","2016-10-31 02:58:00","Esquina"
"2016-0142",1,"AVENIDA","DEL LIBERTADOR AV.","ESQ","RAMOS MEJIA, JOSE MARIA, DR. AV.","DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1.0,-58.37533517,-34.59276462,"MOTO-PASAJEROS","MOTO","PASAJEROS","2016-11-05 23:30:00","Esquina"
"2016-0143",1,"AVENIDA","27 DE FEBRERO AV.","ESQ","ESCALADA AV.","27 DE FEBRERO AV. y ESCALADA AV.",8.0,-58.44451316,-34.68475866,"MOTO-SD","MOTO","SD","2016-11-06 04:41:00","Esquina"
"2016-0144",1,"AVENIDA","BROWN, ALTE. AV.","984","NA","BROWN, ALTE. AV. 984",4.0,-58.35975012,-34.63343907,"PEATON-PASAJEROS","PEATON","PASAJEROS","2016-11-07 12:10:00","Calle"
"2016-0145",1,"AVENIDA","DEL LIBERTADOR AV.","ESQ","LA PAMPA","DEL LIBERTADOR AV. y LA PAMPA",13.0,-58.44523595,-34.55953855,"MOTO-AUTO","MOTO","AUTO","2016-11-07 20:56:00","Esquina"
"2016-0146",1,"AVENIDA","PICHINCHA AV.","ESQ","BRASIL","PICHINCHA AV. y BRASIL",4.0,-58.39626094,-34.63036565,"PEATON-PASAJEROS","PEATON","PASAJEROS","2016-11-09 20:00:00","Esquina"
"2016-0147",1,"AVENIDA","INDEPENDENCIA AV.","ESQ","CEVALLOS, VIRREY","INDEPENDENCIA AV. y CEVALLOS, VIRREY",1.0,-58.38896772,-34.61799615,"MOVIL-PASAJEROS","MOVIL","PASAJEROS","2016-11-16 21:15:00","Esquina"
"2016-0148",1,"AVENIDA","GARMENDIA AV.","4895","NA","GARMENDIA AV. 4895",15.0,-58.46536113,-34.59484504,"MOTO-MOTO","MOTO","MOTO","2016-11-16 22:20:00","Calle"
"2016-0150",1,"AVENIDA","ALCORTA, AMANCIO AV.","ESQ","TABORDA, DIOGENES","ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",4.0,-58.40879146,-34.65273216,"CARGAS-CARGAS","CARGAS","CARGAS","2016-11-18 18:20:00","Esquina"
"2016-0152",1,"AVENIDA","MORENO, PERITO AV.","ESQ","ZUVIRIA","MORENO, PERITO AV. y ZUVIRIA",7.0,-58.46451841,-34.64991946,"MOTO-AUTO","MOTO","AUTO","2016-11-23 21:10:00","Esquina"
"2016-0153",1,"AVENIDA","ARAOZ","ESQ","CORDOBA AV.","ARAOZ y CORDOBA AV.",15.0,-58.4291709,-34.59485488,"PEATON-MOTO","PEATON","MOTO","2016-11-25 15:42:00","Esquina"
"2016-0154",1,"GRAL PAZ","PAZ, GRAL. AV.","15200","NA","PAZ, GRAL. AV. 15200",8.0,-58.49007772,-34.68251141,"MOTO-MOTO","MOTO","MOTO","2016-11-26 14:14:00","Calle"
"2016-0155",1,"CALLE","MADERO","900","NA","MADERO 900",10.0,-58.52756365,-34.62772274,"PEATON-AUTO","PEATON","AUTO","2016-11-26 16:50:00","Calle"
"2016-0156",1,"AVENIDA","INDEPENDENCIA AV.","ESQ","DEAN FUNES","INDEPENDENCIA AV. y DEAN FUNES",3.0,-58.40638983,-34.61943202,"MOTO-PASAJEROS","MOTO","PASAJEROS","2016-11-26 19:40:00","Esquina"
"2016-0157",1,"AVENIDA","JUSTO, JUAN B. AV.","5645","NA","JUSTO, JUAN B. AV. 5645",11.0,-58.47576807,-34.61740997,"MOTO-MOTO","MOTO","MOTO","2016-12-03 06:40:00","Calle"
"2016-0159",1,"AVENIDA","27 DE FEBRERO AV.","ESQ","ESCALADA AV.","27 DE FEBRERO AV. y ESCALADA AV.",8.0,-58.44451316,-34.68475866,"AUTO-SD","AUTO","SD","2016-12-04 07:21:00","Esquina"
"2016-0160",1,"AUTOPISTA","AUTOPISTA PERITO MORENO","ESQ","NA","AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD)",9.0,-58.51927194,-34.63635787,"CARGAS-OBJETO FIJO","CARGAS","OBJETO FIJO","2016-12-06 05:30:00","Calle"
"2016-0161",1,"AVENIDA","SANTA FE AV.","ESQ","GODOY CRUZ","SANTA FE AV. y GODOY CRUZ",14.0,-58.42525456,-34.57866344,"PEATON-PASAJEROS","PEATON","PASAJEROS","2016-12-06 07:22:00","Esquina"
"2016-0162",1,"AVENIDA","LACROZE, FEDERICO AV.","ESQ","FOREST AV.","LACROZE, FEDERICO AV. y FOREST AV.",15.0,-58.45396573,-34.58518167,"PEATON-AUTO","PEATON","AUTO","2016-12-07 05:00:00","Esquina"
"2016-0163",1,"GRAL PAZ","PAZ, GRAL. AV.","ESQ","MOSCONI GENERAL AV.","PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11.0,-58.52340614,-34.59798754,"MOTO-AUTO","MOTO","AUTO","2016-12-10 07:30:00","Esquina"
"2016-0164",1,"AVENIDA","LA PLATA AV.","ESQ","POMAR, GREGORIO TTE. CNEL.","LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4.0,-58.42323628,-34.64119105,"AUTO-AUTO","AUTO","AUTO","2016-12-11 06:16:00","Esquina"
"2016-0165",1,"AVENIDA","GARCIA, MARTIN AV.","300","NA","GARCIA, MARTIN AV. 300",4.0,-58.36926144,-34.62841919,"BICICLETA-PASAJEROS","BICICLETA","PASAJEROS","2016-12-12 08:25:00","Calle"
"2016-0168",1,"AVENIDA","LA PLATA AV.","ESQ","POMAR, GREGORIO TTE. CNEL.","LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4.0,-58.42323628,-34.64119105,"MOTO-AUTO","MOTO","AUTO","2016-12-13 10:40:00","Esquina"
"2016-0169",1,"AVENIDA","NU?EZ","ESQ","BALBIN, RICARDO, DR. AV.","NUÃ‘EZ y BALBIN, RICARDO, DR. AV.",12.0,-58.47935434,-34.55676497,"MOTO-PASAJEROS","MOTO","PASAJEROS","2016-12-15 15:30:00","Esquina"
"2016-0170",1,"GRAL PAZ","PAZ, GRAL. AV.","4500","NA","PAZ, GRAL. AV. 4500",12.0,-58.50598256,-34.5637998,"MOTO-AUTO","MOTO","AUTO","2016-12-19 17:10:00","Calle"
"2016-0171",1,"AUTOPISTA","HUERGO, ING. AV.","ESQ","AUTOPISTA 25 DE MAYO","HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",1.0,-58.36607137,-34.62150748,"MOTO-MOTO","MOTO","MOTO","2016-12-25 19:00:00","Esquina"
"2016-0172",1,"AVENIDA","GARAY, JUAN DE AV.","ESQ","CASTRO","GARAY, JUAN DE AV. y CASTRO",5.0,-58.41918902,-34.63174259,"MOTO-CARGAS","MOTO","CARGAS","2016-12-26 08:00:00","Esquina"
